char;time_ingame;time_rw;pos;vehicle;subtitles_text;speaker;soundfile
Franklin;22:44:07;16:22:59;-14.3803,-1438.514,-1438.514;;;;
Franklin;22:44:07;16:22:59;-14.3803,-1438.514,-1438.514;;;;
Franklin;22:44:08;16:23:00;-14.3803,-1438.514,-1438.514;;;;
Franklin;22:44:08;16:23:00;-14.3803,-1438.514,-1438.514;;;;
Franklin;22:44:09;16:23:01;-14.3803,-1438.514,-1438.514;;;;
Franklin;22:44:09;16:23:02;-14.3803,-1438.514,-1438.514;;;;
Franklin;22:44:10;16:23:02;-14.3803,-1438.514,-1438.514;;;;
Franklin;22:44:10;16:23:03;-14.3803,-1438.514,-1438.514;;;;
Franklin;22:44:11;16:23:03;-14.3803,-1438.514,-1438.514;;;;
Franklin;22:44:11;16:23:04;-14.3803,-1438.514,-1438.514;;;;
Franklin;22:44:12;16:23:04;-14.3803,-1438.514,-1438.514;;;;
Franklin;22:44:12;16:23:05;-14.3803,-1438.514,-1438.514;;;;
Franklin;22:44:13;16:23:05;-14.3803,-1438.514,-1438.514;;;;
Franklin;22:44:13;16:23:06;-14.3803,-1438.514,-1438.514;;;;
Franklin;22:44:14;16:23:06;-14.3803,-1438.514,-1438.514;;;;
Franklin;22:44:14;16:23:07;-14.3803,-1438.514,-1438.514;;;;
Franklin;22:44:15;16:23:07;-14.3803,-1438.514,-1438.514;;;;
Franklin;22:44:15;16:23:08;-14.3803,-1438.514,-1438.514;;;;
Franklin;22:44:16;16:23:08;-14.37732,-1438.548,-1438.548;;;;
Franklin;22:44:16;16:23:09;-14.37754,-1438.548,-1438.548;;;;
Franklin;22:44:17;16:23:09;-14.37842,-1438.548,-1438.548;;;;
Franklin;22:44:17;16:23:10;-14.37842,-1438.548,-1438.548;;;;
Franklin;22:44:18;16:23:10;-14.37842,-1438.548,-1438.548;;;;
Franklin;22:44:19;16:23:11;-14.37842,-1438.548,-1438.548;;;;
Franklin;22:44:19;16:23:11;-14.37842,-1438.548,-1438.548;;;;
Franklin;22:44:20;16:23:12;-14.37842,-1438.548,-1438.548;;;;
