char;time_ingame;time_rw;pos;vehicle;subtitles_text;speaker;soundfile
Trevor;14:54:47;19:41:42;1972.606,3817.044,3817.044;;;;
Trevor;14:54:47;19:41:43;1972.606,3817.044,3817.044;;;;
Trevor;14:54:48;19:41:43;1972.606,3817.044,3817.044;;;;
Trevor;14:54:48;19:41:44;1972.606,3817.044,3817.044;;;;
Trevor;14:54:49;19:41:44;1972.606,3817.044,3817.044;;;;
Trevor;14:54:49;19:41:45;1972.606,3817.044,3817.044;;;;
Trevor;14:54:50;19:41:45;1972.606,3817.044,3817.044;;;;
Trevor;14:54:50;19:41:46;1972.606,3817.044,3817.044;;;;
Trevor;14:54:51;19:41:47;1972.606,3817.044,3817.044;;;;
Trevor;14:54:51;19:41:47;1972.606,3817.044,3817.044;;;;
Trevor;14:54:52;19:41:48;1972.606,3817.044,3817.044;;;;
Trevor;14:54:52;19:41:48;1972.606,3817.044,3817.044;;;;
Trevor;14:54:53;19:41:49;1972.606,3817.044,3817.044;;;;
Trevor;14:54:53;19:41:49;1972.606,3817.044,3817.044;;;;
Trevor;14:54:54;19:41:50;1972.606,3817.044,3817.044;;;;
Trevor;14:54:55;19:41:50;1972.606,3817.044,3817.044;;;;
Trevor;14:54:55;19:41:51;1972.606,3817.044,3817.044;;;;
Trevor;14:54:56;19:41:51;1972.606,3817.044,3817.044;;;;
Trevor;14:54:56;19:41:52;1972.606,3817.044,3817.044;;;;
Trevor;14:54:57;19:41:52;1972.606,3817.044,3817.044;;;;
Trevor;14:54:57;19:41:53;1972.606,3817.044,3817.044;;;;
Trevor;14:54:58;19:41:53;1972.606,3817.044,3817.044;;;;
Trevor;14:54:58;19:41:54;1972.606,3817.044,3817.044;;;;
Trevor;14:54:59;19:41:54;1972.606,3817.044,3817.044;;;;
Trevor;14:54:59;19:41:55;1972.606,3817.044,3817.044;;;;
Trevor;14:55:00;19:41:55;1972.606,3817.044,3817.044;;;;
Trevor;14:55:00;19:41:56;1972.606,3817.044,3817.044;;;;
Trevor;14:55:01;19:41:56;1972.606,3817.044,3817.044;;;;
Trevor;14:55:01;19:41:57;1972.606,3817.044,3817.044;;;;
Trevor;14:55:02;19:41:57;1972.606,3817.044,3817.044;;;;
Trevor;14:55:02;19:41:58;1972.606,3817.044,3817.044;;;;
Trevor;14:55:03;19:41:58;1972.606,3817.044,3817.044;;;;
Trevor;14:55:03;19:41:59;1972.606,3817.044,3817.044;;;;
Trevor;14:55:04;19:41:59;1972.606,3817.044,3817.044;;;;
Trevor;14:55:04;19:42:00;1972.606,3817.044,3817.044;;;;
Trevor;14:55:05;19:42:01;1972.606,3817.044,3817.044;;;;
Trevor;14:55:05;19:42:01;1972.606,3817.044,3817.044;;;;
Trevor;14:55:06;19:42:02;1972.606,3817.044,3817.044;;;;
Trevor;14:55:06;19:42:02;1972.606,3817.044,3817.044;;;;
Trevor;14:55:07;19:42:03;1972.606,3817.044,3817.044;;;;
Trevor;14:55:08;19:42:03;1972.606,3817.044,3817.044;;;;
Trevor;14:55:08;19:42:04;1972.606,3817.044,3817.044;;;;
Trevor;14:55:09;19:42:04;1972.606,3817.044,3817.044;;;;
Trevor;14:55:09;19:42:05;1972.597,3817.043,3817.043;;;;
Trevor;14:55:10;19:42:05;1972.258,3817.005,3817.005;;;;
Trevor;14:55:10;19:42:06;1971.559,3816.832,3816.832;;;;
Trevor;14:55:11;19:42:06;1971.504,3816.309,3816.309;;;;
Trevor;14:55:11;19:42:07;1972.049,3816.54,3816.54;;;;
Trevor;14:55:12;19:42:07;1972.263,3817.424,3817.424;;;;
Trevor;14:55:12;19:42:08;1972.367,3818.026,3818.026;;;;
Trevor;14:55:13;19:42:08;1972.427,3818.173,3818.173;;;;
Trevor;14:55:13;19:42:09;1972.434,3818.186,3818.186;;;;
Trevor;14:55:14;19:42:09;1972.434,3818.186,3818.186;;;;
Trevor;14:55:14;19:42:10;1972.434,3818.186,3818.186;;;;
Trevor;14:56:25;19:43:20;1972.434,3818.186,3818.186;;;;
Trevor;14:56:25;19:43:21;1972.434,3818.186,3818.186;;;;
Trevor;14:56:26;19:43:21;1972.434,3818.186,3818.186;;;;
Trevor;14:56:26;19:43:22;1972.336,3818.603,3818.603;;;;
Trevor;14:56:27;19:43:23;1972.297,3818.562,3818.562;;;;
Trevor;14:56:27;19:43:23;1972.901,3818.753,3818.753;;;;
Trevor;14:56:28;19:43:24;1973.795,3818.68,3818.68;;;;
Trevor;14:56:28;19:43:24;1974.62,3818.718,3818.718;;Routine procedure my ass. They're after us.;NERVOUSRON;FMT_ACAA
Trevor;14:56:29;19:43:25;1974.588,3818.191,3818.191;;;;
Trevor;14:56:30;19:43:25;1973.811,3818.09,3818.09;;;;
Trevor;14:56:30;19:43:26;1973.019,3817.668,3817.668;;;;
Trevor;14:56:31;19:43:26;1972.9,3816.807,3816.807;;;;
Trevor;14:56:31;19:43:27;1973.181,3815.958,3815.958;;;;
Trevor;14:56:32;19:43:27;1973.734,3815.239,3815.239;;;;
Trevor;14:56:32;19:43:28;1974.525,3814.858,3814.858;;;;
Trevor;14:56:34;19:43:29;1975.637,3815.01,3815.01;;;;
Trevor;14:56:34;19:43:30;1976.133,3815.068,3815.068;;;;
Trevor;14:56:35;19:43:30;1977.346,3815.178,3815.178;;;;
Trevor;14:56:35;19:43:31;1979.081,3815.744,3815.744;;;;
Trevor;14:56:36;19:43:31;1981.842,3816.334,3816.334;;;;
Trevor;14:56:36;19:43:32;1984.443,3815.017,3815.017;;;;
Trevor;14:56:37;19:43:32;1984.155,3812.104,3812.104;;;;
Trevor;14:56:37;19:43:33;1982.05,3810.29,3810.29;;;;
Trevor;14:56:38;19:43:33;1980.931,3809.779,3809.779;;;;
Trevor;14:56:38;19:43:34;1980.931,3809.778,3809.778;;;;
Trevor;14:56:39;19:43:35;1980.962,3809.452,3809.452;;;;
Trevor;14:56:39;19:43:35;1981.394,3808.174,3808.174;True,OffRoad,BODHI2,0,02756857,0;;;
Trevor;14:56:40;19:43:36;1981.394,3808.174,3808.174;True,OffRoad,BODHI2,0,0;;;
Trevor;14:56:40;19:43:36;1981.394,3808.174,3808.174;True,OffRoad,BODHI2,0,0;;;
Trevor;14:56:41;19:43:37;1981.394,3808.174,3808.174;True,OffRoad,BODHI2,0,0;;;
Trevor;14:56:41;19:43:37;1981.394,3808.174,3808.174;True,OffRoad,BODHI2,0,0;;;
Trevor;14:56:54;19:43:50;1981.394,3808.174,3808.174;True,OffRoad,BODHI2,0,0;;;
Trevor;14:56:55;19:43:50;1981.394,3808.174,3808.174;True,OffRoad,BODHI2,0,0;;;
Trevor;14:56:55;19:43:51;1981.394,3808.174,3808.174;True,OffRoad,BODHI2,0,0;;;
Trevor;14:56:56;19:43:51;1981.38,3808.168,3808.168;True,OffRoad,BODHI2,0,2291397,1;;;
Trevor;14:56:56;19:43:52;1980.732,3807.688,3807.688;True,OffRoad,BODHI2,3,04995,1;;;
Trevor;14:56:57;19:43:52;1978.412,3805.928,3805.928;True,OffRoad,BODHI2,8,3425,1;;;
Trevor;14:56:57;19:43:53;1974.284,3802.501,3802.501;True,OffRoad,BODHI2,10,21635,0;;;
Trevor;14:56:58;19:43:53;1970.5,3798.898,3798.898;True,OffRoad,BODHI2,10,95629,1;;;
