char;time_ingame;time_rw;pos;vehicle;subtitles_text;speaker;soundfile
Michael;19:45:30;11:07:26;-813.603,179.4738,179.4738;;;;
Michael;19:45:47;11:07:26;-813.603,179.4738,179.4738;;;;
Michael;19:46:03;11:07:27;-813.603,179.4738,179.4738;;;;
Michael;19:46:18;11:07:27;-813.603,179.4738,179.4738;;;;
Michael;19:46:34;11:07:28;-813.603,179.4738,179.4738;;;;
Michael;19:46:50;11:07:28;-813.603,179.4738,179.4738;;;;
Michael;19:47:06;11:07:29;-813.603,179.4738,179.4738;;;;
Michael;19:47:21;11:07:29;-813.603,179.4738,179.4738;;;;
Michael;19:47:37;11:07:30;-813.603,179.4738,179.4738;;;;
Michael;19:47:52;11:07:30;-813.603,179.4738,179.4738;;;;
Michael;19:48:08;11:07:31;-813.603,179.4738,179.4738;;;;
Michael;19:48:24;11:07:32;-813.603,179.4738,179.4738;;;;
Michael;19:48:40;11:07:32;-813.603,179.4738,179.4738;;;;
Michael;19:48:56;11:07:33;-813.603,179.4738,179.4738;;;;
Michael;19:49:12;11:07:33;-813.603,179.4738,179.4738;;;;
Michael;19:49:28;11:07:34;-813.603,179.4738,179.4738;;;;
Michael;19:49:44;11:07:34;-813.603,179.4738,179.4738;;;;
Michael;19:49:58;11:07:46;-813.603,179.4738,179.4738;;;;
Michael;19:50:13;11:07:46;-813.603,179.4738,179.4738;;;;
Michael;19:50:29;11:07:47;-813.603,179.4738,179.4738;;;;
Michael;19:50:44;11:07:47;-813.603,179.4738,179.4738;;;;
Michael;19:50:52;11:07:48;-813.603,179.4738,179.4738;;;;
Michael;19:50:54;11:07:48;-813.603,179.4738,179.4738;;;;
Michael;19:50:56;11:07:49;-813.603,179.4738,179.4738;;;;
Michael;19:50:57;11:07:49;-813.603,179.4738,179.4738;;;;
Michael;19:50:59;11:07:50;-813.603,179.4738,179.4738;;;;
Michael;19:51:08;11:07:50;-813.603,179.4738,179.4738;;;;
Michael;19:51:24;11:07:51;-813.603,179.4738,179.4738;;;;
Michael;19:51:39;11:07:52;-813.603,179.4738,179.4738;;;;
Michael;19:51:55;11:07:52;-813.603,179.4738,179.4738;;;;
Michael;19:52:11;11:07:53;-813.603,179.4738,179.4738;;;;
Michael;19:52:27;11:07:53;-813.603,179.4738,179.4738;;;;
Michael;19:52:43;11:07:54;-813.603,179.4738,179.4738;;;;
Michael;19:52:58;11:07:54;-813.603,179.4738,179.4738;;;;
Michael;19:53:14;11:07:55;-813.603,179.4738,179.4738;;;;
Michael;19:53:29;11:07:55;-813.603,179.4738,179.4738;;;;
???;19:53:45;11:07:56;0,0,0;;I swear. Half my life in traffic.;FRANKLIN;PRS_KMAA
???;19:54:01;11:07:56;0,0,0;;;;
???;19:54:17;11:07:57;0,0,0;;;;
???;19:54:33;11:07:57;0,0,0;;;;
???;19:54:49;11:07:58;0,0,0;;;;
???;19:55:04;11:07:58;0,0,0;;;;
???;19:55:20;11:07:59;0,0,0;;;;
???;19:55:36;11:07:59;0,0,0;;;;
???;19:55:42;11:08:00;0,0,0;;;;
???;19:55:47;11:08:00;0,0,0;;;;
char;time_ingame;time_rw;pos;vehicle;subtitles_text;speaker;soundfile
Franklin;19:56:08;11:08:05;-464.2291,-1592.976,-1592.976;True,Sports,BUFFALO02,0,0;;;
