char;time_ingame;time_rw;pos;vehicle;subtitles_text;speaker;soundfile
Franklin;11:45:05;15:23:11;-14.3803,-1438.514,-1438.514;;;;
Franklin;11:45:22;15:23:12;-14.3803,-1438.514,-1438.514;;;;
Franklin;11:45:38;15:23:12;-14.3803,-1438.514,-1438.514;;;;
Franklin;11:45:54;15:23:13;-14.3803,-1438.514,-1438.514;;;;
Franklin;11:46:09;15:23:14;-14.3803,-1438.514,-1438.514;;;;
Franklin;11:46:11;15:25:03;-14.3803,-1438.514,-1438.514;;;;
Franklin;11:46:19;15:25:05;-14.3803,-1438.514,-1438.514;;;;
Franklin;11:46:34;15:25:06;-14.38082,-1438.899,-1438.899;;;;
Franklin;11:46:50;15:25:06;-14.39303,-1439.81,-1439.81;;;;
Franklin;11:47:06;15:25:07;-14.31644,-1440.74,-1440.74;;;;
Franklin;11:47:21;15:25:07;-14.19854,-1441.597,-1441.597;;;;
Franklin;11:47:37;15:25:08;-14.14774,-1442.025,-1442.025;;;;
Franklin;11:47:52;15:25:08;-14.13143,-1442.137,-1442.137;;;;
Franklin;11:48:08;15:25:09;-14.15188,-1442.188,-1442.188;;;;
Franklin;11:48:24;15:25:09;-14.24035,-1442.751,-1442.751;;;;
Franklin;11:48:39;15:27:19;-14.62428,-1443.296,-1443.296;;;;
Franklin;11:48:56;15:27:22;-14.65334,-1443.335,-1443.335;;;;
Franklin;11:49:12;15:27:22;-14.65761,-1443.341,-1443.341;;;;
Franklin;11:49:27;15:27:23;-14.88338,-1443.754,-1443.754;;;;
Franklin;11:49:43;15:27:23;-15.27239,-1444.502,-1444.502;;;;
Franklin;11:49:59;15:27:24;-15.94594,-1445.102,-1445.102;;;;
Franklin;11:50:14;15:27:24;-16.74825,-1445.382,-1445.382;;;;
Franklin;11:50:30;15:27:25;-17.61806,-1445.176,-1445.176;;;;
Franklin;11:50:45;15:27:25;-18.4514,-1444.869,-1444.869;;;;
Franklin;11:51:01;15:27:26;-19.27425,-1444.564,-1444.564;;;;
Franklin;11:51:16;15:27:26;-20.13425,-1444.418,-1444.418;;;;
Franklin;11:51:31;15:27:27;-20.8894,-1444.141,-1444.141;;;;
Franklin;11:51:47;15:27:27;-21.18745,-1444.03,-1444.03;;;;
Franklin;11:52:03;15:27:28;-21.24645,-1444.007,-1444.007;;;;
Franklin;11:52:18;15:27:28;-21.24656,-1444.007,-1444.007;;;;
Franklin;11:52:34;15:27:29;-21.24656,-1444.007,-1444.007;;;;
Franklin;11:52:50;15:27:29;-21.24656,-1444.007,-1444.007;;;;
Franklin;11:53:05;15:27:31;-21.27987,-1443.943,-1443.943;;;;
Franklin;11:53:21;15:27:31;-21.31684,-1443.828,-1443.828;;;;
Franklin;11:53:37;15:27:32;-21.17519,-1441.831,-1441.831;;;;
Franklin;11:53:52;15:27:32;-20.71954,-1440.993,-1440.993;;;;
Franklin;11:54:08;15:27:33;-20.80069,-1440.838,-1440.838;;;;
Franklin;11:54:23;15:27:33;-21.2727,-1440.062,-1440.062;;;;
Franklin;11:54:39;15:27:34;-21.36559,-1438.708,-1438.708;;;;
Franklin;11:54:54;15:27:34;-21.36535,-1438.707,-1438.707;;;;
Franklin;11:55:10;15:27:35;-22.62956,-1439.137,-1439.137;True,Sports,BUFFALO02,0,0;;;
Franklin;11:55:26;15:27:36;-22.62956,-1439.137,-1439.137;True,Sports,BUFFALO02,0,0;;;
Franklin;11:55:42;15:27:36;-22.62956,-1439.137,-1439.137;True,Sports,BUFFALO02,0,0;;;
Franklin;11:55:57;15:27:37;-22.62956,-1439.137,-1439.137;True,Sports,BUFFALO02,0,0;;;
Franklin;11:56:13;15:27:37;-22.62956,-1439.137,-1439.137;True,Sports,BUFFALO02,0,0;;;
Franklin;11:56:28;15:27:38;-22.62962,-1439.145,-1439.145;True,Sports,BUFFALO02,0,1761517,1;;;
Franklin;11:56:44;15:27:38;-22.78889,-1439.721,-1439.721;True,Sports,BUFFALO02,2,234106,1;;;
Franklin;11:57:00;15:27:39;-23.25299,-1441.106,-1441.106;True,Sports,BUFFALO02,2,38749,0;;;
Franklin;11:57:15;15:27:39;-23.47814,-1441.917,-1441.917;True,Sports,BUFFALO02,0,8735113,0;;;
Franklin;11:57:31;15:27:40;-23.51101,-1442.018,-1442.018;True,Sports,BUFFALO02,0,004765774,0;;;
Franklin;11:57:46;15:27:40;-23.51108,-1442.018,-1442.018;True,Sports,BUFFALO02,0,0;;;
