char;time_ingame;time_rw;pos;vehicle;subtitles_text;speaker;soundfile
Trevor;18:21:54;14:39:16;1972.606,3817.044,3817.044;;;;
Trevor;18:21:54;14:39:17;1972.605,3817.044,3817.044;;;;
Trevor;18:21:55;14:39:17;1972.605,3817.044,3817.044;;;;
Trevor;18:21:55;14:39:18;1972.605,3817.044,3817.044;;;;
Trevor;18:21:56;14:39:18;1972.605,3817.044,3817.044;;;;
Trevor;18:21:56;14:39:19;1972.605,3817.044,3817.044;;;;
Trevor;18:21:57;14:39:19;1972.605,3817.044,3817.044;;;;
Trevor;18:21:57;14:39:20;1972.605,3817.044,3817.044;;;;
Trevor;18:21:58;14:39:20;1972.605,3817.044,3817.044;;;;
Trevor;18:21:58;14:39:21;1972.605,3817.044,3817.044;;;;
Trevor;18:21:59;14:39:21;1972.605,3817.044,3817.044;;;;
Trevor;18:21:59;14:39:22;1972.605,3817.044,3817.044;;;;
Trevor;18:22:00;14:39:22;1972.605,3817.044,3817.044;;;;
Trevor;18:22:00;14:39:23;1972.605,3817.044,3817.044;;;;
Trevor;18:22:01;14:39:23;1972.605,3817.044,3817.044;;;;
Trevor;18:22:02;14:39:24;1972.605,3817.044,3817.044;;;;
Trevor;18:22:02;14:39:25;1972.605,3817.044,3817.044;;;;
Trevor;18:22:03;14:39:25;1972.605,3817.044,3817.044;;;;
Trevor;18:22:03;14:39:26;1972.605,3817.044,3817.044;;;;
Trevor;18:22:04;14:39:26;1972.605,3817.044,3817.044;;;;
Trevor;18:22:04;14:39:27;1972.605,3817.044,3817.044;;;;
Trevor;18:22:05;14:39:27;1972.605,3817.044,3817.044;;;;
Trevor;18:22:05;14:39:28;1972.605,3817.044,3817.044;;;;
Trevor;18:22:06;14:39:28;1972.605,3817.044,3817.044;;;;
Trevor;18:22:06;14:39:29;1972.605,3817.044,3817.044;;;;
Trevor;18:22:07;14:39:29;1972.605,3817.044,3817.044;;;;
Trevor;18:22:07;14:39:30;1972.605,3817.044,3817.044;;;;
Trevor;18:22:08;14:39:30;1972.605,3817.044,3817.044;;;;
Trevor;18:22:08;14:39:31;1972.605,3817.044,3817.044;;;;
Trevor;18:22:09;14:39:31;1972.605,3817.044,3817.044;;;;
Trevor;18:22:09;14:39:32;1972.605,3817.044,3817.044;;;;
Trevor;18:22:10;14:39:32;1972.605,3817.044,3817.044;;;;
Trevor;18:22:10;14:39:33;1972.605,3817.044,3817.044;;;;
Trevor;18:22:11;14:39:33;1972.605,3817.044,3817.044;;;;
Trevor;18:22:12;14:39:34;1972.605,3817.044,3817.044;;;;
Trevor;18:22:12;14:39:34;1972.605,3817.044,3817.044;;;;
Trevor;18:22:13;14:39:35;1972.605,3817.044,3817.044;;;;
Trevor;18:22:13;14:39:36;1972.605,3817.044,3817.044;;;;
Trevor;18:22:14;14:39:36;1972.605,3817.044,3817.044;;;;
Trevor;18:22:14;14:39:37;1972.605,3817.044,3817.044;;;;
Trevor;18:22:15;14:39:37;1972.605,3817.044,3817.044;;;;
Trevor;18:22:15;14:39:38;1972.605,3817.044,3817.044;;;;
Trevor;18:22:16;14:39:38;1972.605,3817.044,3817.044;;Patricia. Mrs. Madrazo.;TREVOR;PAFL_ABAA
Trevor;18:22:16;14:39:39;1972.605,3817.044,3817.044;;;;
Trevor;18:22:17;14:39:39;1972.605,3817.044,3817.044;;;;
Trevor;18:22:17;14:39:40;1972.605,3817.044,3817.044;;;;
Trevor;18:22:18;14:39:40;1972.605,3817.044,3817.044;;Trevor. I miss you. All you boys.;PATRICIA;PAFL_ABAB
Trevor;18:22:50;14:40:13;1972.605,3817.044,3817.044;;;;
Trevor;18:22:51;14:40:13;1972.605,3817.044,3817.044;;;;
Trevor;18:22:51;14:40:14;1972.605,3817.044,3817.044;;;;
Trevor;18:22:52;14:40:14;1972.605,3817.044,3817.044;;;;
Trevor;18:22:52;14:40:15;1972.605,3817.044,3817.044;;;;
Trevor;18:22:53;14:40:15;1972.605,3817.044,3817.044;;;;
Trevor;18:22:53;14:40:16;1972.682,3816.92,3816.92;;;;
Trevor;18:22:54;14:40:16;1972.978,3816.325,3816.325;;;;
Trevor;18:22:55;14:40:17;1973.494,3815.582,3815.582;;I miss you, too. I can't speak for the other, "boys.";TREVOR;PAFL_ABAC
Trevor;18:22:55;14:40:18;1974.232,3815.031,3815.031;;;;
Trevor;18:22:56;14:40:18;1974.315,3814.993,3814.993;;;;
Trevor;18:22:56;14:40:19;1974.317,3814.993,3814.993;;;;
Trevor;18:22:57;14:40:19;1974.313,3814.993,3814.993;;;;
Trevor;18:22:57;14:40:20;1974.303,3814.993,3814.993;;;;
Trevor;18:22:58;14:40:20;1974.528,3814.959,3814.959;;;;
Trevor;18:22:58;14:40:21;1975.148,3814.893,3814.893;;;;
Trevor;18:22:59;14:40:21;1976.063,3814.801,3814.801;;You're such good friends.;PATRICIA;PAFL_ABAD
Trevor;18:22:59;14:40:22;1977.394,3814.993,3814.993;;;;
Trevor;18:23:00;14:40:22;1978.832,3815.698,3815.698;;;;
Trevor;18:23:00;14:40:23;1981.178,3816.416,3816.416;;It's a bit more complicated than that. Actually, Michael and I are not speaking.;TREVOR;PAFL_ABAE
Trevor;18:23:01;14:40:23;1984.026,3815.442,3815.442;;;;
Trevor;18:23:01;14:40:24;1985.495,3812.808,3812.808;;;;
Trevor;18:23:02;14:40:24;1985.933,3811.495,3811.495;;;;
Trevor;18:23:02;14:40:25;1986.141,3810.572,3810.572;;;;
Trevor;18:23:03;14:40:25;1986.041,3809.68,3809.68;;;;
Trevor;18:23:03;14:40:26;1985.602,3808.938,3808.938;;;;
Trevor;18:23:04;14:40:26;1984.885,3808.404,3808.404;;;;
Trevor;18:23:05;14:40:27;1984.218,3807.78,3807.78;;;;
Trevor;18:23:05;14:40:27;1983.477,3807.211,3807.211;;;;
Trevor;18:23:06;14:40:28;1982.642,3806.869,3806.869;;;;
Trevor;18:23:06;14:40:29;1981.937,3806.652,3806.652;;Old friendships cannot be replaced.;PATRICIA;PAFL_ABAF
Trevor;18:23:07;14:40:29;1981.761,3806.601,3806.601;;;;
Trevor;18:23:07;14:40:30;1981.761,3806.601,3806.601;;;;
Trevor;18:23:08;14:40:30;1981.885,3806.628,3806.628;;;;
Trevor;18:23:08;14:40:31;1982.419,3806.758,3806.758;;;;
Trevor;18:23:09;14:40:31;1982.42,3806.758,3806.758;;Hey, how are you? Is Martin looking after you?;TREVOR;PAFL_ABAG
Trevor;18:23:09;14:40:32;1982.398,3806.764,3806.764;;;;
Trevor;18:23:10;14:40:32;1981.77,3807.097,3807.097;;;;
Trevor;18:23:10;14:40:33;1981.419,3807.723,3807.723;;;;
Trevor;18:23:11;14:40:33;1981.394,3808.173,3808.173;True,OffRoad,BODHI2,0,0;;;
Trevor;18:23:11;14:40:34;1981.395,3808.173,3808.173;True,OffRoad,BODHI2,0,04653375,0;He's here. I've got to go.;PATRICIA;PAFL_ABAH
Trevor;18:23:12;14:40:34;1981.395,3808.175,3808.175;True,OffRoad,BODHI2,0,0;;;
