char;time_ingame;time_rw;pos;vehicle;subtitles_text;speaker;soundfile
Michael;17:26:15;15:14:50;-813.1648,179.3228,179.3228;;;;
Michael;17:26:16;15:14:51;-813.163,179.3218,179.3218;;;;
Michael;17:26:16;15:14:51;-813.163,179.3218,179.3218;;;;
Michael;17:26:33;15:15:08;-813.163,179.3218,179.3218;;;;
Michael;17:26:33;15:15:08;-813.163,179.3218,179.3218;;;;
Michael;17:26:35;15:15:10;-813.2073,179.2603,179.2603;;;;
Michael;17:26:35;15:15:11;-813.2073,179.2603,179.2603;;;;
Michael;17:26:36;15:15:11;-813.0552,179.0643,179.0643;;;;
Michael;17:26:36;15:15:12;-812.7803,177.8777,177.8777;;;;
Michael;17:26:37;15:15:12;-813.6801,176.905,176.905;;;;
Michael;17:26:37;15:15:13;-813.8423,175.2355,175.2355;;;;
Michael;17:26:38;15:15:13;-813.9198,175.5203,175.5203;;;;
Michael;17:26:38;15:15:14;-813.8416,176.728,176.728;;;;
Michael;17:26:39;15:15:14;-813.0236,178.4836,178.4836;;;;
Michael;17:26:39;15:15:15;-811.2388,178.9587,178.9587;;;;
Michael;17:26:40;15:15:15;-809.8267,177.769,177.769;;;;
Michael;17:26:41;15:15:16;-809.0621,176.1898,176.1898;;;;
Michael;17:26:41;15:15:16;-806.8364,176.3005,176.3005;;;;
Michael;17:26:42;15:15:17;-805.2324,177.5725,177.5725;;;;
Michael;17:26:42;15:15:17;-805.0513,179.7493,179.7493;;;;
Michael;17:26:43;15:15:18;-805.4189,181.0859,181.0859;;;;
Michael;17:26:43;15:15:18;-805.8428,181.9815,181.9815;;;;
Michael;17:26:44;15:15:19;-807.03,183.2951,183.2951;;;;
Michael;17:26:44;15:15:19;-808.363,183.1839,183.1839;;;;
Michael;17:26:45;15:15:20;-809.2556,182.87,182.87;;;;
Michael;17:26:45;15:15:20;-810.0198,182.5389,182.5389;;;;
Michael;17:26:46;15:15:21;-810.7853,182.1562,182.1562;;;;
Michael;17:26:46;15:15:21;-812.4666,181.1175,181.1175;;;;
Michael;17:26:47;15:15:22;-814.1086,179.8996,179.8996;;;;
Michael;17:26:47;15:15:22;-815.1327,179.1286,179.1286;;;;
Michael;17:26:48;15:15:23;-815.315,178.9912,178.9912;;;;
Michael;17:26:48;15:15:23;-815.3148,178.9914,178.9914;;;;
Michael;17:26:49;15:15:24;-815.3148,178.9914,178.9914;;;;
Michael;17:26:49;15:15:25;-815.2947,179.0853,179.0853;;;;
Michael;17:26:50;15:15:25;-814.9269,179.8312,179.8312;;;;
Michael;17:26:50;15:15:26;-813.4285,180.9258,180.9258;;;;
Michael;17:26:51;15:15:26;-811.5829,182.0367,182.0367;;;;
Michael;17:26:51;15:15:27;-810.611,182.4049,182.4049;;;;
Michael;17:26:52;15:15:27;-809.7311,182.7405,182.7405;;;;
Michael;17:26:53;15:15:28;-808.8381,183.1675,183.1675;;;;
Michael;17:26:53;15:15:28;-807.719,183.5093,183.5093;;;;
Michael;17:26:54;15:15:29;-806.0656,182.6344,182.6344;;;;
Michael;17:26:54;15:15:29;-805.5455,181.5846,181.5846;;;;
Michael;17:26:55;15:15:30;-805.1879,179.9388,179.9388;;;;
Michael;17:26:55;15:15:30;-805.742,177.7818,177.7818;;;;
Michael;17:26:56;15:15:31;-807.4855,177.0131,177.0131;;;;
Michael;17:26:56;15:15:31;-809.6713,177.3979,177.3979;;;;
Michael;17:26:57;15:15:32;-811.2946,178.6472,178.6472;;;;
Michael;17:26:57;15:15:32;-812.9833,178.2594,178.2594;;;;
Michael;17:26:58;15:15:33;-814.1289,176.6772,176.6772;;;;
