char;time_ingame;time_rw;pos;vehicle;subtitles_text;speaker;soundfile
Franklin;17:37:06;13:29:08;-14.3803,-1438.514,-1438.514;;;;
Franklin;17:37:06;13:29:08;-14.3803,-1438.514,-1438.514;;;;
Franklin;17:37:07;13:29:09;-14.3803,-1438.514,-1438.514;;;;
Franklin;17:37:07;13:29:09;-14.3803,-1438.514,-1438.514;;;;
Franklin;17:37:08;13:29:10;-14.3803,-1438.514,-1438.514;;;;
Franklin;17:37:08;13:29:10;-14.3803,-1438.514,-1438.514;;;;
Franklin;17:37:09;13:29:11;-14.3803,-1438.514,-1438.514;;;;
Franklin;17:37:09;13:29:11;-14.3803,-1438.514,-1438.514;;;;
Franklin;17:37:10;13:29:12;-14.3803,-1438.514,-1438.514;;;;
Franklin;17:37:10;13:29:12;-14.3803,-1438.514,-1438.514;;;;
Franklin;17:38:51;13:30:53;-14.3803,-1438.514,-1438.514;;;;
Franklin;17:38:54;13:30:55;-14.3803,-1438.514,-1438.514;;;;
Franklin;17:38:54;13:30:56;-14.3803,-1438.514,-1438.514;;;;
Franklin;17:38:55;13:30:57;-14.3803,-1438.514,-1438.514;;;;
Franklin;17:38:55;13:30:57;-14.3803,-1438.514,-1438.514;;;;
Franklin;17:38:56;13:31:00;-14.38022,-1438.526,-1438.526;;;;
Franklin;17:38:58;13:31:00;-14.38022,-1438.526,-1438.526;;;;
Franklin;17:38:59;13:31:01;-14.36796,-1438.983,-1438.983;;;;
Franklin;17:38:59;13:31:01;-14.45815,-1440.544,-1440.544;;;;
Franklin;17:39:00;13:31:02;-14.21172,-1442.005,-1442.005;;;;
Franklin;17:39:00;13:31:02;-14.47729,-1443.969,-1443.969;;;;
Franklin;17:39:01;13:31:03;-14.5398,-1444.137,-1444.137;;;;
Franklin;17:39:01;13:31:03;-14.53983,-1444.137,-1444.137;;;;
Franklin;17:39:02;13:31:04;-14.88001,-1444.201,-1444.201;;;;
Franklin;17:39:02;13:31:04;-17.24696,-1445.412,-1445.412;;;;
Franklin;17:39:03;13:31:05;-20.02459,-1444.979,-1444.979;;;;
Franklin;17:39:04;13:31:05;-20.72518,-1442.017,-1442.017;;;;
Franklin;17:39:04;13:31:06;-21.31094,-1439.117,-1439.117;;;;
Franklin;17:39:05;13:31:06;-21.3196,-1437.131,-1437.131;;;;
Franklin;17:39:05;13:31:07;-21.65957,-1435.37,-1435.37;;;;
Franklin;17:39:06;13:31:07;-22.06264,-1435.215,-1435.215;;;;
Franklin;17:39:06;13:31:08;-23.33001,-1436.256,-1436.256;;;;
Franklin;17:39:07;13:31:09;-23.37247,-1436.923,-1436.923;;;;
Franklin;17:39:07;13:31:09;-23.31558,-1437.306,-1437.306;;;;
Franklin;17:39:08;13:31:10;-22.64904,-1437.799,-1437.799;;;;
