char;time_ingame;time_rw;pos;vehicle;subtitles_text;speaker;soundfile
Michael;21:00:59;17:55:23;4105.817,4369.678,4369.678;True,Boats,DINGHY,5,286116,0;Don't lecture me on patriotism. You've been living outside the system too long.;steve;fbi5a_LZAB
Michael;21:01:00;17:55:24;4106.254,4367.013,4367.013;True,Boats,DINGHY,5,729021,1;;;
Michael;21:01:00;17:55:24;4106.943,4362.974,4362.974;True,Boats,DINGHY,9,684669,1;Social responsibility's a joke to you.;steve;fbi5a_LZAC
Michael;21:01:01;17:55:25;4107.927,4356.976,4356.976;True,Boats,DINGHY,14,45507,1;;;
Michael;21:01:01;17:55:25;4109.177,4348.207,4348.207;True,Boats,DINGHY,19,09533,1;;;
Michael;21:01:02;17:55:26;4110.04,4337.642,4337.642;True,Boats,DINGHY,21,1908,1;;;
Michael;21:01:02;17:55:26;4110.78,4326.29,4326.29;True,Boats,DINGHY,25,01678,1;;;
Michael;21:01:03;17:55:27;4111.733,4312.544,4312.544;True,Boats,DINGHY,26,16895,1;;;
Michael;21:01:03;17:55:27;4111.475,4300.931,4300.931;True,Boats,DINGHY,20,64365,1;So maybe I redeem myself, get killed in the process, huh? That old bullshit.;michael;fbi5a_LZAD
Michael;21:01:04;17:55:28;4110.095,4288.772,4288.772;True,Boats,DINGHY,26,91415,1;;;
Michael;21:01:04;17:55:28;4108.296,4273.688,4273.688;True,Boats,DINGHY,30,3431,0;;;
Michael;21:01:05;17:55:29;4105.842,4259.939,4259.939;True,Boats,DINGHY,23,40818,0;;;
Michael;21:01:05;17:55:29;4103.572,4249.581,4249.581;True,Boats,DINGHY,17,5947,0;;;
Michael;21:01:06;17:55:30;4102.416,4240.947,4240.947;True,Boats,DINGHY,17,89075,1;;;
Michael;21:01:06;17:55:31;4103.366,4231.104,4231.104;True,Boats,DINGHY,19,09055,1;;;
Michael;21:01:07;17:55:31;4106.553,4221.377,4221.377;True,Boats,DINGHY,21,68341,1;;;
Michael;21:01:07;17:55:32;4110.407,4210.865,4210.865;True,Boats,DINGHY,21,61769,1;;;
Michael;21:01:08;17:55:32;4113.336,4200.783,4200.783;True,Boats,DINGHY,18,6725,1;;;
Michael;21:01:08;17:55:33;4113.882,4189.733,4189.733;True,Boats,DINGHY,22,74879,1;No one is dying on my watch.;dave;fbi5a_LZAE
Michael;21:01:09;17:55:33;4113.739,4176.619,4176.619;True,Boats,DINGHY,25,4698,1;;;
Michael;21:01:09;17:55:34;4110.485,4164.8,4164.8;True,Boats,DINGHY,24,7466,1;;;
Michael;21:01:10;17:55:34;4105.213,4151.824,4151.824;True,Boats,DINGHY,26,11448,1;;;
Michael;21:01:11;17:55:35;4101.988,4139.545,4139.545;True,Boats,DINGHY,26,77324,1;;;
Michael;21:01:11;17:55:35;4099.117,4125.075,4125.075;True,Boats,DINGHY,28,49268,1;Not even the burnt out bank robber with temper issues and nothing to live for.;dave;fbi5a_LZAH
Michael;21:01:12;17:55:36;4095.318,4111.104,4111.104;True,Boats,DINGHY,25,13793,1;;;
Michael;21:01:12;17:55:36;4088.643,4099.949,4099.949;True,Boats,DINGHY,27,8533,1;;;
Michael;21:01:13;17:55:37;4079.941,4086.326,4086.326;True,Boats,DINGHY,34,50213,1;;;
Michael;21:01:13;17:55:37;4071.059,4070.726,4070.726;True,Boats,DINGHY,33,77446,1;;;
Michael;21:01:14;17:55:38;4063.58,4053.969,4053.969;True,Boats,DINGHY,37,47289,1;;;
Michael;21:01:14;17:55:38;4056.948,4037.73,4037.73;True,Boats,DINGHY,27,31051,1;;;
Michael;21:01:15;17:55:39;4051.54,4023.127,4023.127;True,Boats,DINGHY,33,55269,1;;;
Michael;21:01:15;17:55:39;4044.942,4005.334,4005.334;True,Boats,DINGHY,35,08556,1;A hero's death is too good for you. You'll die in the ignominy you deserve.;steve;fbi5a_LZAF
Michael;21:01:16;17:55:40;4038.185,3988.172,3988.172;True,Boats,DINGHY,36,98048,1;;;
Michael;21:01:16;17:55:40;4030.204,3971.585,3971.585;True,Boats,DINGHY,32,08229,1;;;
Michael;21:01:17;17:55:41;4021.8,3958.511,3958.511;True,Boats,DINGHY,32,22172,1;;;
Michael;21:01:17;17:55:41;4011.404,3943.258,3943.258;True,Boats,DINGHY,38,89156,1;;;
Michael;21:01:18;17:55:42;4000.687,3927.884,3927.884;True,Boats,DINGHY,27,43722,0;;;
Michael;21:01:18;17:55:43;3992.867,3918.036,3918.036;True,Boats,DINGHY,23,24479,0;;;
Michael;21:01:38;17:56:02;3983.622,3906.519,3906.519;True,Boats,DINGHY,17,25418,0;;;
Michael;21:01:38;17:56:03;3978.62,3900.046,3900.046;True,Boats,DINGHY,15,84017,1;;;
Michael;21:01:39;17:56:03;3973.466,3893.343,3893.343;True,Boats,DINGHY,16,36828,1;;;
Michael;21:01:39;17:56:04;3967.485,3886.158,3886.158;True,Boats,DINGHY,19,48026,1;Oh, thank God. Fate shall carry me safe through these selfless acts of charity.;michael;fbi5a_LZAG
Michael;21:01:40;17:56:06;3961.279,3879.433,3879.433;True,Boats,DINGHY,15,53844,0;;;
Michael;21:01:43;17:56:07;3956.134,3874.095,3874.095;True,Boats,DINGHY,13,49345,0;;;
Michael;21:01:43;17:56:07;3951.742,3869.568,3869.568;True,Boats,DINGHY,11,1508,0;;;
Michael;21:01:44;17:56:08;3948.024,3865.663,3865.663;True,Boats,DINGHY,9,761112,0;;;
Michael;21:01:44;17:56:08;3944.814,3862.259,3862.259;True,Boats,DINGHY,8,341139,0;;;
Michael;21:01:45;17:56:09;3942.082,3859.24,3859.24;True,Boats,DINGHY,7,422341,0;;;
Michael;21:01:45;17:56:10;3939.68,3856.54,3856.54;True,Boats,DINGHY,6,457799,0;;;
Michael;21:01:46;17:56:10;3937.679,3854.124,3854.124;True,Boats,DINGHY,5,636327,0;;;
Michael;21:01:46;17:56:11;3936.092,3852.089,3852.089;True,Boats,DINGHY,4,558754,0;;;
Michael;21:01:47;17:56:11;3934.849,3850.407,3850.407;True,Boats,DINGHY,3,559087,0;;;
Michael;21:01:47;17:56:12;3933.953,3849.089,3849.089;True,Boats,DINGHY,2,693386,0;;;
Michael;21:01:48;17:56:12;3933.19,3847.965,3847.965;True,Boats,DINGHY,2,455552,0;This is the bay. We can get in through the discharge tunnel.;dave;fbi5a_DMAA
Michael;21:01:48;17:56:13;3932.49,3846.951,3846.951;True,Boats,DINGHY,2,299507,0;;;
Michael;21:01:49;17:56:13;3931.789,3845.959,3845.959;True,Boats,DINGHY,2,36265,0;;;
Michael;21:01:49;17:56:14;3931.04,3844.968,3844.968;True,Boats,DINGHY,2,477239,0;;;
Michael;21:01:50;17:56:14;3930.255,3843.925,3843.925;True,Boats,DINGHY,2,577793,0;;;
