char;time_ingame;time_rw;pos;vehicle;subtitles_text;speaker;soundfile
Trevor;10:22:15;15:01:12;-1151.749,-1518.136,-1518.136;;;;
Trevor;10:22:15;15:01:13;-1151.758,-1518.137,-1518.137;;;;
Trevor;10:22:16;15:01:13;-1151.758,-1518.137,-1518.137;;;;
Trevor;10:22:16;15:01:14;-1151.758,-1518.137,-1518.137;;;;
Trevor;10:22:17;15:01:14;-1151.758,-1518.137,-1518.137;;;;
Trevor;10:22:17;15:01:15;-1151.758,-1518.137,-1518.137;;;;
Trevor;10:22:18;15:01:15;-1151.758,-1518.137,-1518.137;;;;
Trevor;10:22:18;15:01:16;-1151.758,-1518.137,-1518.137;;;;
Trevor;10:22:19;15:01:16;-1151.758,-1518.137,-1518.137;;;;
Trevor;10:22:19;15:01:17;-1151.758,-1518.137,-1518.137;;;;
Trevor;10:22:20;15:01:17;-1151.758,-1518.137,-1518.137;;;;
Trevor;10:22:20;15:01:18;-1151.758,-1518.137,-1518.137;;;;
Trevor;10:22:21;15:01:18;-1151.758,-1518.137,-1518.137;;;;
Trevor;10:22:21;15:01:19;-1151.758,-1518.137,-1518.137;;;;
Trevor;10:22:22;15:01:20;-1151.758,-1518.137,-1518.137;;;;
Trevor;10:22:23;15:01:20;-1151.756,-1518.155,-1518.155;;;;
Trevor;10:22:23;15:01:21;-1151.754,-1518.173,-1518.173;;;;
Trevor;10:22:24;15:01:22;-1151.753,-1518.18,-1518.18;;;;
Trevor;10:22:25;15:01:22;-1151.695,-1518.59,-1518.59;;;;
Trevor;10:22:25;15:01:23;-1151.398,-1519.828,-1519.828;;;;
Trevor;10:22:26;15:01:23;-1150.426,-1521.692,-1521.692;;;;
Trevor;10:22:26;15:01:24;-1149.675,-1522.723,-1522.723;;;;
Trevor;10:22:27;15:01:24;-1149.669,-1522.732,-1522.732;;;;
Trevor;10:22:27;15:01:25;-1149.679,-1522.738,-1522.738;;;;
Trevor;10:22:28;15:01:25;-1149.704,-1522.738,-1522.738;;;;
Trevor;10:22:51;15:01:49;-1149.706,-1522.738,-1522.738;;;;
Trevor;10:22:52;15:01:49;-1149.706,-1522.738,-1522.738;;;;
Trevor;10:22:52;15:01:50;-1149.706,-1522.738,-1522.738;;;;
Trevor;10:22:53;15:01:50;-1149.708,-1522.745,-1522.745;;;;
Trevor;10:22:53;15:01:51;-1149.434,-1522.826,-1522.826;;;;
Trevor;10:22:54;15:01:51;-1148.778,-1522.964,-1522.964;;;;
Trevor;10:22:54;15:01:52;-1147.365,-1522.568,-1522.568;;;;
Trevor;10:22:55;15:01:52;-1146.675,-1522.066,-1522.066;;;;
Trevor;10:22:55;15:01:53;-1146.113,-1521.65,-1521.65;;;;
Trevor;10:22:56;15:01:53;-1145.56,-1521.231,-1521.231;;;;
Trevor;10:22:57;15:01:54;-1145.018,-1520.784,-1520.784;;;;
Trevor;10:22:57;15:01:55;-1144.496,-1520.286,-1520.286;;;;
Trevor;10:22:58;15:01:55;-1144.127,-1519.633,-1519.633;;;;
Trevor;10:22:58;15:01:56;-1144.788,-1519.211,-1519.211;;;;
Trevor;10:23:08;15:02:05;-1145.213,-1519.374,-1519.374;;;;
Trevor;10:23:08;15:02:06;-1145.675,-1519.612,-1519.612;;;;
Trevor;10:23:09;15:02:06;-1146.3,-1519.939,-1519.939;;;;
Trevor;10:23:09;15:02:07;-1146.907,-1520.289,-1520.289;;;;
Trevor;10:23:10;15:02:07;-1147.501,-1520.646,-1520.646;;;;
Trevor;10:23:10;15:02:08;-1148.08,-1521.01,-1521.01;;;;
Trevor;10:23:11;15:02:08;-1148.707,-1521.41,-1521.41;;;;
Trevor;10:23:11;15:02:09;-1150.419,-1522.519,-1522.519;;;;
Trevor;10:23:12;15:02:09;-1153.038,-1524.466,-1524.466;;;;
Trevor;10:23:12;15:02:10;-1155.518,-1526.671,-1526.671;;;;
Trevor;10:23:13;15:02:10;-1157.19,-1528.461,-1528.461;;;;
Trevor;10:23:13;15:02:11;-1156.973,-1528.671,-1528.671;;;;
Trevor;10:23:14;15:02:11;-1157.046,-1528.691,-1528.691;;;;
Trevor;10:23:14;15:02:12;-1158.261,-1528.978,-1528.978;;;;
Trevor;10:23:15;15:02:12;-1158.488,-1529.367,-1529.367;True,OffRoad,BODHI2,0,0;;;
Trevor;10:23:15;15:02:13;-1158.488,-1529.367,-1529.367;True,OffRoad,BODHI2,0,0;;;
Trevor;10:23:16;15:02:13;-1158.488,-1529.367,-1529.367;True,OffRoad,BODHI2,0,0;;;
Trevor;10:23:16;15:02:14;-1158.488,-1529.367,-1529.367;True,OffRoad,BODHI2,0,0;;;
Trevor;10:23:17;15:02:14;-1158.488,-1529.367,-1529.367;True,OffRoad,BODHI2,0,00598423,1;;;
Trevor;10:23:17;15:02:15;-1158.486,-1529.366,-1529.366;True,OffRoad,BODHI2,0,009450866,1;;;
Trevor;10:23:18;15:02:15;-1158.497,-1529.343,-1529.343;True,OffRoad,BODHI2,0,4686089,1;;;
Trevor;10:23:19;15:02:16;-1158.519,-1529.323,-1529.323;True,OffRoad,BODHI2,0,005782004,0;;;
Trevor;10:23:19;15:02:17;-1158.519,-1529.323,-1529.323;True,OffRoad,BODHI2,0,0;;;
Trevor;10:23:20;15:02:17;-1158.6,-1529.212,-1529.212;True,OffRoad,BODHI2,1,117365,1;;;
Trevor;10:23:20;15:02:18;-1159.489,-1527.975,-1527.975;True,OffRoad,BODHI2,5,060114,1;;;
Trevor;10:23:21;15:02:18;-1161.291,-1525.454,-1525.454;True,OffRoad,BODHI2,5,233662,0;;;
Trevor;10:23:21;15:02:19;-1162.213,-1524.166,-1524.166;True,OffRoad,BODHI2,0,8772719,0;;;
Trevor;10:23:22;15:02:19;-1162.494,-1523.688,-1523.688;True,OffRoad,BODHI2,2,205356,1;;;
Trevor;10:23:22;15:02:20;-1163.414,-1521.735,-1521.735;True,OffRoad,BODHI2,6,499946,1;;;
Trevor;10:23:23;15:02:20;-1164.55,-1518.106,-1518.106;True,OffRoad,BODHI2,6,407865,0;;;
Trevor;10:23:23;15:02:21;-1163.89,-1515.402,-1515.402;True,OffRoad,BODHI2,4,596886,0;;;
Trevor;10:23:24;15:02:21;-1162.577,-1513.993,-1513.993;True,OffRoad,BODHI2,3,290894,1;;;
Trevor;10:23:24;15:02:22;-1161.024,-1513.084,-1513.084;True,OffRoad,BODHI2,2,988843,0;;;
Trevor;10:23:25;15:02:22;-1159.859,-1512.537,-1512.537;True,OffRoad,BODHI2,2,74994,1;;;
Trevor;10:23:25;15:02:23;-1158.719,-1511.75,-1511.75;True,OffRoad,BODHI2,1,738405,0;;;
